ID_SOLICITUD,FECHA_DEMANDA,HORA_DEMANDA,TIPO_PROD, IMPORTE_SOL ,WEB,IP_SOLICITUD,DISPOSITIVO,NAVEGADOR,EMAIL,TASA_INTERES,DECISION,MOTIVO_RECHAZO,ID_CLIENTE
3000000005813777,01/04/2019,12:23:43,B 2150850001, 15.000  ,1,77.230.84.138,browser_mobile,Chrome,HOTMAIL.COM,9.32,ABANDONADO,WA,2900010933586
3000000005815215,01/04/2019,02:13:19,B 2150850001,  ,1,92.191.138.179,browser_mobile,Chrome,GMAIL.COM,0,ABANDONADO,PG,2900010933955
3000000005815997,01/04/2019,14:59:53,B 2150850001, 12.000  ,1,92.185.136.1,browser_mobile,Chrome,GMAIL.COM,8.14,ABANDONADO,ZC,2900010934204
3000000006057760,01/05/2019,01:19:07,B 2150850001, 12.000  ,1,176.83.25.1,browser_mobile,Chrome,HOTMAIL.COM,8.25,ABANDONADO,WA,2900010998161
3000000006061477,01/05/2019,18:51:06,B 2150850001, 12.000  ,1,47.61.9.90,browser_mobile,Chrome,HOTMAIL.COM,6.01,ABANDONADO,WA,2900003796714
3000000005556584,01/03/2019,15:15:23,B 2150850001, 5.000  ,1,47.61.9.90,browser_mobile,Chrome,HOTMAIL.COM,11.56,RECHAZADO,FN,2900002396142
3000000005560718,01/03/2019,01:09:29,B 2150850001, 5.000  ,1,185.155.60.132,browser_computer,Chrome,GMAIL.COM,11.56,ABANDONADO,PG,2900006824104
3000000005557159,01/03/2019,01:09:27,B 2150850001, 10.000  ,1,193.148.85.121,browser_mobile,Chrome,GMAIL.COM,8.84,ABANDONADO,PG,2900010862476
3000000005560263,01/03/2019,01:09:29,B 2150850001, 10.000  ,1,188.76.240.30,browser_mobile,Other,GMAIL.COM,11.41,ABANDONADO,PG,2900003263364
3000000005559620,01/03/2019,00:46:38,B 2150850001, 4.000  ,1,95.39.188.164,browser_mobile,Chrome,HOTMAIL.COM,20.75,ABANDONADO,PG,2900002748831
3000000005561287,01/03/2019,15:08:03,B 2150850001, 15.000  ,1,78.30.2.28,browser_mobile,Safari,GMAIL.COM,11.51,RECHAZADO,BU,2900010858724
3000000005558801,01/03/2019,01:09:28,B 2150850001, 4.000  ,1,185.13.106.121,browser_mobile,Chrome,GMAIL.COM,18.28,ABANDONADO,PG,2900002105615
3000000005559252,01/03/2019,00:46:38,B 2150850001, 12.000  ,1,90.71.74.69,browser_mobile,Chrome,MAIL.BG,11.52,ABANDONADO,PG,2900001026054
3000000005555620,01/03/2019,01:09:26,B 2150850001, 12.000  ,1,47.60.38.148,browser_mobile,Chrome,GMAIL.COM,6.12,ABANDONADO,PG,2900002814456
3000000005556047,01/03/2019,17:28:58,B 2150850001, 12.000  ,1,139.47.23.155,browser_mobile,Chrome,GMAIL.COM,8.25,ACEPTADO,,2900001730224
3000000005559702,01/03/2019,17:34:29,B 2150850001, 10.000  ,1,83.34.206.42,browser_mobile,Other,HOTMAIL.COM,9.22,RECHAZADO,BU,2900001233293
3000000005560875,01/03/2019,01:09:29,B 2150850001, 4.000  ,1,83.58.172.183,browser_computer,Chrome,GMAIL.COM,11.57,ABANDONADO,PG,2900010863761
3000000005560271,01/03/2019,01:09:29,B 2150850001, 15.000  ,1,77.227.122.74,browser_computer,Edge,HOTMAIL.COM,8.79,ABANDONADO,PG,2900010774291
3000000005558734,01/03/2019,00:46:38,B 2150850001, 10.000  ,1,89.141.253.166,browser_mobile,Other,GMAIL.COM,8.84,ABANDONADO,PG,2900010863028
3000000005558816,01/03/2019,17:16:07,B 2150850001, 7.000  ,1,95.127.240.231,browser_mobile,Safari,HOTMAIL.COM,10.36,ABANDONADO,ZC,2900010863044
3000000005558023,01/03/2019,13:03:55,B 2150850001, 5.000  ,1,93.117.84.46,browser_mobile,Safari,YAHOO.ES,12.52,RECHAZADO,BU,2900000778578
3000000005560238,01/03/2019,18:48:00,B 2150850001, 10.000  ,1,87.222.156.17,browser_mobile,Chrome,HOTMAIL.COM,8.84,RECHAZADO,BU,2900002917956
3000000005559741,01/03/2019,15:28:24,B 2150850001, 15.000  ,1,47.60.46.143,browser_mobile,Chrome,GMAIL.COM,8.79,ABANDONADO,ZC,2900010530523
3000000005559317,01/03/2019,01:09:28,B 2150850001, 13.500  ,1,2.153.133.5,browser_mobile,Chrome,GMAIL.COM,8.68,ABANDONADO,PG,2900006970581
3000000005555688,01/03/2019,00:46:37,B 2150850001, 4.000  ,0,95.63.62.95,,,HOTMAIL.COM,11.45,ABANDONADO,PG,2900001345770
3000000005813974,01/04/2019,01:49:21,B 2150850001, 5.000  ,1,83.37.77.34,browser_mobile,Chrome,HOTMAIL.COM,11.45,ABANDONADO,PG,2900010360312
3000000005812686,01/04/2019,01:49:20,B 2150850001, 5.000  ,1,195.135.249.226,browser_mobile,Chrome,GMAIL.COM,11.44,ABANDONADO,PG,2900000835953
3000000005811647,01/04/2019,09:11:43,B 2150850001, 15.000  ,1,178.237.234.141,browser_mobile,Chrome,HOTMAIL.ES,11.51,ACEPTADO,,2900006453968
3000000005811708,01/04/2019,01:49:20,B 2150850001, 15.000  ,1,213.177.217.152,browser_mobile,Chrome,GMAIL.COM,11.4,ABANDONADO,PG,2900001684007
3000000005814415,01/04/2019,01:49:21,B 2150850001, 15.000  ,1,139.47.118.244,browser_mobile,Chrome,HOTMAIL.COM,6.11,ABANDONADO,PG,2900010933754
3000000005819933,01/04/2019,13:26:37,B 2150850001, 6.000  ,1,139.47.102.47,browser_computer,Chrome,GMAIL.COM,12.62,ACEPTADO,,2900001967343
3000000005816299,01/04/2019,11:44:59,B 2150850001, 12.000  ,1,195.135.249.226,browser_mobile,Chrome,GMAIL.COM,11.4,RECHAZADO,BA,2900001925289
3000000005814537,01/04/2019,17:16:48,B 2150850001, 6.000  ,1,80.52.66.52,browser_computer,Chrome,COMUNIDADESCOSTACALIDA.COM,10.26,ACEPTADO,,2900010431862
3000000005820887,01/04/2019,01:49:26,B 2150850001, 6.000  ,1,85.59.14.123,browser_mobile,Chrome,GMAIL.COM,10.25,ABANDONADO,PG,2900010807995
3000000005815418,01/04/2019,10:16:08,B 2150850001, 10.000  ,1,5.45.172.249,browser_mobile,Chrome,OUTLOOK.COM,8.73,ACEPTADO,,2900010934045
3000000005820252,01/04/2019,01:49:26,B 2150850001, 5.000  ,1,213.177.217.152,browser_mobile,Chrome,GMAIL.COM,11.53,ABANDONADO,PG,2900003253347
3000000005810462,01/04/2019,02:13:18,B 2150850001, 15.000  ,1,85.49.204.117,browser_mobile,Chrome,GMAIL.COM,11.4,ABANDONADO,PG,2900003852454
3000000005817984,01/04/2019,12:17:38,B 2150850001, 12.000  ,1,31.4.211.55,browser_mobile,Chrome,GMAIL.COM,6.01,RECHAZADO,BA,2900000841715
3000000005817421,01/04/2019,15:02:15,B 2150850001, 4.000  ,1,213.177.217.152,browser_mobile,Chrome,GMAIL.COM,12.51,ACEPTADO,,2900000729559
3000000005813349,01/04/2019,16:39:30,B 2150850001, 10.000  ,1,2.153.182.20,browser_computer,Chrome,GMAIL.COM,11.41,ACEPTADO,,2900010633644
3000000005817447,01/04/2019,13:17:55,B 2150850001, 12.000  ,1,141.105.106.34,browser_computer,Chrome,GMAIL.COM,11.4,ABANDONADO,ZO,2900010929322
3000000005819222,01/04/2019,01:49:25,B 2150850001, 4.000  ,1,188.165.128.113,browser_computer,Chrome,GMAIL.COM,18.38,ABANDONADO,PG,2900010672261
3000000005818732,01/04/2019,13:40:36,B 2150850001, 6.000  ,1,176.83.126.122,browser_mobile,Chrome,GMAIL.COM,17.04,ABANDONADO,ZC,2900002626120
3000000005820812,01/04/2019,15:28:16,B 2150850001, 8.750  ,1,47.61.47.161,browser_mobile,Safari,GMAIL.COM,15.89,ABANDONADO,ZO,2900001824011
3000000005819547,01/04/2019,01:49:25,B 2150850001, 5.000  ,1,193.152.41.137,browser_mobile,Safari,YAHOO.ES,11.45,ABANDONADO,PG,2900006719252
3000000005820800,01/04/2019,09:43:29,B 2150850001, 5.000  ,1,2.154.135.168,browser_mobile,Chrome,HOTMAIL.COM,20.62,RECHAZADO,FN,2900001861756
3000000005817136,01/04/2019,18:06:48,B 2150850001, 14.000  ,1,89.129.63.243,browser_mobile,Safari,HOTMAIL.COM,8.24,ABANDONADO,ZC,2900010934675
3000000005818908,01/04/2019,01:49:25,B 2150850001, 11.500  ,1,213.37.57.146,browser_mobile,Chrome,GMAIL.COM,9.27,ABANDONADO,PG,2900002829643
3000000005821231,01/04/2019,01:49:27,B 2150850001, 7.250  ,1,31.4.183.229,browser_mobile,Other,GMAIL.COM,10.36,ABANDONADO,PG,2900003396758
3000000005812594,01/04/2019,09:09:51,B 2150850001, 15.000  ,1,85.49.195.172,browser_computer,Chrome,GMAIL.COM,8.78,RECHAZADO,FN,2900003164260
3000000005819681,01/04/2019,01:49:25,B 2150850001, 4.000  ,1,85.52.202.116,browser_mobile,Chrome,GMAIL.COM,11.55,ABANDONADO,PG,2900007007155
3000000005818596,01/04/2019,14:24:19,B 2150850001, 4.000  ,1,188.26.220.179,browser_computer,Chrome,GMAIL.COM,20.62,RECHAZADO,RI,2900007090967
3000000006058426,01/05/2019,13:28:06,B 2150850001, 9.000  ,1,217.130.254.68,browser_mobile,Chrome,HOTMAIL.COM,16.02,RECHAZADO,BU,2900010991428
3000000006059057,01/05/2019,09:17:09,B 2150850001, 12.000  ,1,85.53.99.41,browser_mobile,Chrome,GMAIL.COM,8.25,ACEPTADO,,2900010998315
3000000006061672,01/05/2019,11:11:26,B 2150850001, 12.000  ,1,81.34.29.163,browser_mobile,Chrome,GMAIL.COM,11.41,RECHAZADO,BU,2900002154637
3000000006057548,01/05/2019,01:47:33,B 2150850001, 12.000  ,1,31.221.212.23,browser_mobile,Safari,UIC.ES,9.33,ABANDONADO,PG,2900010546709
3000000006061721,01/05/2019,02:15:22,B 2150850001, 15.000  ,1,88.19.127.65,browser_mobile,Firefox,GMAIL.COM,9.22,ABANDONADO,PG,2900003787887
3000000006060974,01/05/2019,12:12:16,B 2150850001, 4.000  ,1,89.140.197.253,browser_computer,Edge,GMAIL.COM,20.63,RECHAZADO,RI,2900003161138
3000000006057750,01/05/2019,02:15:21,B 2150850001, 12.000  ,1,87.125.62.11,browser_mobile,Chrome,HOTMAIL.COM,11.52,ABANDONADO,PG,2900002998423
3000000006062229,01/05/2019,01:47:33,B 2150850001, 4.000  ,1,62.117.253.231,browser_computer,Edge,YAHOO.ES,18.4,ABANDONADO,PG,2900010998827
3000000005558408,01/03/2019,14:35:55,B 2150850001, 4.000  ,1,83.44.27.148,browser_mobile,Safari,ICLOUD.COM,11.56,ABANDONADO,ZC,2900002773074
